inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type,,,,,,,,,,,,
1AABsVPPRHH7CZ1SKa56xwG2BrdNZ3FMoE,1uzWkZKhix3xiAnXDBJVfkve16cTtN9r5,125CY8WUQTXY5w47iMuu3SBBNfaHxiUsrR,438.0989753,438.0088394,0.08957088,4890.080787416624 : 1,2017-08-08 14:15,56500,P2PKH,,,,,,,,,,,,
151cDuPNS6RSYN66tsKKDkDaxo7CTGApty,17ZRwczcVPkL1aHtsDeTvvibdJT9Vf7gcb,1HKKqXJPaB6iDJTxKp3HLbGy3qhPBwMx9c,2.32208927,0.82995994,1.49171929,1.7973389052970437 : 1,2017-07-17 12:14,41004,P2PKH,,,,,,,,,,,,
1FAVNS8SE9KxVbU9713pHqSXGUWWoxoNmL,18twdjRia5FXxUFSSrJTHjcudt3Gfxkzzr,17xKXttmvSg9cWyQkL1NpVGfccPPg6vYry,4.64723279,0.44396269,4.20277551,9.466506093113367 : 1,2017-07-19 18:57,49459,P2PKH,,,,,,,,,,,,
1M9qgMcvNEcGCQrmdwqSP6F6CNSTc2Vt2n,1JwGgec4XniagfDvzXZdEat3YBYkFkjcWZ,12mQa9hPTiGqsLpveovzkstcUMh48gv6f3,1.93502093,0.21103012,1.72381748,8.168585034212178 : 1,2017-07-07 3:06,17333,P2PKH,,,,,,,,,,,,
1E6Xuv7B9a2bWJ91QSocw5WQqpEzLVzZc3,1D178VoAvf3rcuNHWiWNQ7ZJx825JgrnDm,14ubhgP4TWooxxDLrfJPvEEpm4GeJoVXEw,0.17807897,0.05729392,0.12022005,2.098303799076761 : 1,2017-08-13 18:40,56500,P2PKH,,,,,,,,,,,,
12Zmz4af3dgVo8vz4bUmwXQoATqd42ogmR,1Lzuh9BDUzPztnutvSpVZdhvfq43Qi4mUW,36MqGti3gKz3JLx3VzMwkYsYSmP3FSC7Wo,1.88048475,0.837444,1.04244393,1.2447924040294036 : 1,2017-07-13 13:05,59682,P2PKH,,,,,,,,,,,,
12dCuA5vR7KpCNoXd2EyKRsDeXs4n5X6MC,1MnTNzsuyuczEcLZUbLoSjNZC8EbYBfAox,1CcQJxYkJaKxAoRo1D3TGUDKhh9W2kpywf,0.49752482,0.18922054,0.30776017,1.626462803668143 : 1,2017-07-16 19:23,54411,P2PKH,,,,,,,,,,,,
17FrMpoaCGjL899dLqSCQCPwywDa3Y2fRm,16ktjn27C3D9Lk5f62zqiEHg9QoGVhbu6U,176QqMZzqFHaeoCJgMiLRE1VhUyGs5Vvaj,0.75577184,0.61162219,0.14324565,4.269743548931503 : 1,2017-09-07 9:10,90400,P2PKH,,,,,,,,,,,,
1GFZLsV35hWFTJWTrMeVHFZ4tyta5ya9sf,1GMsuHqpbqvi5WqBu5WDTc7XF2jm16sYKT,1MHTsSu2X8zFHzsrnCBgDJMaAjvyTDTbBQ,4.41462623,1.9995,2.41445123,1.2075274968742185 : 1,2017-07-15 1:07,67500,P2PKH,,,,,,,,,,,,
192bjVV1QCviG3wv1mX929niAhaQMxAkq6,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,199EaFPz8hAoqhDTPykVS5kRb4qMqfKwM9,0.78125,0.32404483,0.45648356,1.4087049622115557 : 1,2017-06-29 12:19,72161,P2PKH,,,,,,,,,,,,
125UbrP5dh4JdrPJyUXB3yFX9ceDFJ198o,1D1wVwX2b2EqawwnbkPeAx14UM1CnGibnm,164Fdh2frvcJkHdzDCBt4kqMfPY9h6yd4F,3.62628915,1.10350915,2.52198466,2.285422517792444 : 1,2017-06-14 17:22,79534,P2PKH,,,,,,,,,,,,
