inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
31vGod8YCU439esEq6zkGfQyGXknbsKLw2,3JDh7Rse9vKeJXPq6wYSRrnRYjgfMBfrMJ,3GYa9fxKvD6bXibA6RbXrGorPg9biPwnnf,0.322571,0.282285,0.03979606,7.093290139777657 : 1,2017-08-10 13:49:13,48994,P2SH
18ngZLzv73cyMFHdpSiwfaRmvhbNyqgwPB,12hxhP6GWKgaEpVyMGtyewpoYZihh12dU7,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,1.71765683,0.38177248,1.33522553,3.497437871896895 : 1,2017-07-04 17:17:23,65882,P2PKH
1QF8Eht61pGHGVmp4TXLREMwQmo2svZXGq,1DiyFhVWk77vWo2eehyAwwF2CSUSBKtXF7,1HiDWnwVBe3Gz3HeqSWkZCrkj4GhmDfjYd,2.2569401,0.28099574,1.97540025,7.030000703925263 : 1,2017-07-16 22:15:01,54411,P2PKH
1CGwKSqa5GSvaBuobyqW2THxVcTFVefKY2,1J7KgSBrTDTDLbQp1cgLgFhrJtN2PV3rmR,1G7zVce2RT2CwLTaroh7EUNBBpJL2VzsnG,85.66844135,6.56823774,79.09952561,12.042731816525265 : 1,2017-09-01 20:24:29,67800,P2PKH
186JPsBnLZtaPCviw9rDcYNkVzb1A2dJjU,13ttTbyx3y6rvqvMVmkhVvwJ7uTxr9vZym,16fp2mdCYch4DF6r7814caueegDpvpEivC,1.0074,0.03930922,0.96754112,24.613592434548437 : 1,2017-09-06 00:41:33,54966,P2PKH
193Jw29ULEM5g9dB3y7kugzUKWhnRMnLq9,1HiDWnwVBe3Gz3HeqSWkZCrkj4GhmDfjYd,142Rm9V2z9MCsFCdj2a1BNTZ2n4F7cwx2x,3.99547712,1.24889758,2.74613062,2.198843735448667 : 1,2017-07-10 17:07:23,44892,P2PKH
1BijRdvT9WuWWY6ZBQsGFJDsQBJ9aYpnjF,18vMDSW7JK42D3NFj4drar1kHFMJNBLKQK,12kFvcSX6x8JWya3WiwLJnUe4bKPJAcTCh,0.39628915,0.09779821,0.29776832,3.044721575169934 : 1,2017-06-30 20:43:18,72262,P2PKH
12UVp36jCPF17x8TqTSXN8RPGgPwm8kcHc,114Hqf9voyqmv5A1k8vcux1QDKEPsjCy2Z,1LGHXar1UwN25XQzsrUNgD8GH895Gnvfd4,1.3316,1.3199614,0.01104119,119.5488348629088 : 1,2017-08-22 03:26:27,59741,P2PKH
1JyoVsLjVEnS3qTvy2QYzgDtxhs32qZ1Uy,1HNbqUDMqexXexLqs5oYvTiBzCwKG1KWrb,1FeEc6mMxNL5oauFuH2MqYCSsqkqa8W82y,1.27850409,0.21109312,1.06686686,5.054010571258789 : 1,2017-07-16 22:15:01,54411,P2PKH
172HxpbAihZBfoSPGFs8mk42Cv8wpxbnV9,1P2SzT4TuuBvkbhd4gmp2ZraeJoQqi4GYZ,17CKLnm4dovb1qShiaKubZ4RbaTow3sYjN,3.88299752,0.98115688,2.90104805,2.956762684067404 : 1,2017-06-25 16:46:31,79259,P2PKH
